ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
pages.menu.marketingIntel.kpiTable	"📋 20項目標準評価指標詳細 (チャネル別)"
pages.menu.marketingIntel.dimChannel	"チャネル種別"
pages.menu.marketingIntel.dimContent	"コンテンツ種別"
pages.menu.marketingIntel.dimTier	"インフルエンサー規模"
pages.menu.marketingIntel.dimDevice	"デバイス"
pages.menu.marketingIntel.dimCoupon	"プロモーション種別"
pages.menu.marketingIntel.dimTouch	"タッチポイント数"
pages.menu.marketingIntel.aiEngine	"🤖 Claude AI マーケティング推薦エンジン"
pages.menu.marketingIntel.aiEngineDesc	"流入・転換・貢献度データ基盤 最適マーケティング戦略推薦"
pages.menu.marketingIntel.actionLabel	"実行アクション:"
pages.menu.marketingIntel.autoRules	"⚙️ 自動化ルール一覧"
pages.menu.marketingIntel.statusPending	"承認待ち"
pages.menu.marketingIntel.statusApproved	"承認済み"
pages.menu.marketingIntel.trigger	"トリガー"
pages.menu.marketingIntel.action	"アクション"
pages.menu.marketingIntel.rejected	"✕ 却下済み"
pages.menu.marketingIntel.execLog	"📜 自動化実行ログ"
pages.menu.marketingIntel.adCreativeTitle	"🎨 AI広告クリエイティブ生成スタジオ"
pages.menu.marketingIntel.adCreativeSub	"Claude AIがチャネル・カテゴリ・ターゲットに合わせた広告素材を自動生成します"
pages.menu.marketingIntel.adPlatform	"📢 広告プラットフォーム選択"
pages.menu.marketingIntel.adSize	"📐 広告サイズ"
pages.menu.marketingIntel.adStyle	"🎨 クリエイティブスタイル"
pages.menu.marketingIntel.adTone	"✍️ コピーのトーン"
pages.menu.marketingIntel.adProductPh	"例: 保湿クリーム プレミアム 50ml"
pages.menu.marketingIntel.adKeyword	"🔑 キーワード"
pages.menu.marketingIntel.adKeywordPh	"例: 保湿, 弾力, 肌バリア"
pages.menu.marketingIntel.adTarget	"🎯 ターゲット"
pages.menu.marketingIntel.adCta	"📣 CTAボタン"
pages.menu.marketingIntel.adGenerate	"✨ AI広告素材を生成"
pages.menu.marketingIntel.adGenerating	"🤖 AIが広告素材を生成中…"
pages.menu.marketingIntel.adResult	"🎨 生成された広告素材"
pages.menu.marketingIntel.adHeadline	"ヘッドライン"
pages.menu.marketingIntel.adBody	"本文コピー"
pages.menu.marketingIntel.adHashtags	"ハッシュタグ"
pages.menu.marketingIntel.adKeywords	"キーワード"
pages.menu.marketingIntel.adDownload	"⬇ ダウンロード"
pages.menu.marketingIntel.adCopy	"📋 コピー"
pages.menu.approvals.pageTitle	"🔌 連携ハブ"
pages.menu.approvals.pageSub	"コネクタ＆統合管理"
pages.menu.approvals.requestList	"📋 承認キュー"
pages.menu.approvals.filterAll	"すべて"
pages.menu.approvals.noRequests	"承認リクエストなし"
pages.menu.approvals.GuardDecide	"デモモードでは承認/却下不可"
pages.menu.approvals.GuardExecute	"デモモードでは実行不可"
pages.menu.writeback.pageTitle	"🔌 連携ハブ"
pages.menu.writeback.pageSub	"コネクタ＆統合管理"
pages.menu.writeback.tabPolicies	"🛡️ ポリシー"
pages.menu.writeback.policyName	"ポリシー名"
pages.menu.writeback.noPolicies	"ポリシーなし"
pages.menu.connectors.pageTitle	"🔌 連携ハブ"
pages.menu.connectors.pageSub	"コネクタ＆統合管理"
pages.menu.connectors.connected	"接続済み"
pages.menu.eventNorm.pageTitle	"🔌 連携ハブ"
pages.menu.eventNorm.pageSub	"コネクタ＆統合管理"
pages.menu.mappingRegistry.pageTitle	"🔌 連携ハブ"
pages.menu.mappingRegistry.pageSub	"コネクタ＆統合管理"
pages.colChannel	"チャネル"
pages.marketingIntel.pageTitle	"パフォーマンスハブ"
pages.marketingIntel.pageSub	"広告成果・精算・クリエイター・SKU収益性・コホート・ESGを統合管理"
pages.marketingIntel.funnelClicks	"クリック"
pages.marketingIntel.clicks	"クリック"
pages.marketingIntel.kpiTotal	"全チャネル"
pages.marketingIntel.channelKpi.tabGoals	"1. 目標・チャネル (Goals)"
pages.marketingIntel.channelKpi.tabContent	"5. コンテンツ設定 (Content)"
pages.marketingIntel.channelKpi.tabCommunity	"6. コミュニティ (Community)"
pages.marketingIntel.channelKpi.tabMonitor	"8. 成果モニタリング (Monitor)"
pages.marketingIntel.channelKpi.bizGoalSetting	"ビジネス目標設定"
pages.marketingIntel.channelKpi.brandAwareness	"ブランド認知度拡大"
pages.marketingIntel.channelKpi.brandAwarenessDesc	"露出とリーチの最大化"
pages.marketingIntel.channelKpi.webTraffic	"ウェブトラフィック誘導"
pages.marketingIntel.channelKpi.webTrafficDesc	"ページビューと滞在時間の最大化"
pages.marketingIntel.channelKpi.inquiriesPurchases	"問い合わせ・購買転換"
pages.marketingIntel.channelKpi.inquiriesPurchasesDesc	"実質的な売上転換の最大化"
pages.marketingIntel.channelKpi.selectedGoals	"選択された目標"
pages.marketingIntel.channelKpi.clickSelect	"クリックして選択"
pages.marketingIntel.approvals.heroDesc	"API キーを登録し接続状態を管理します。"
pages.marketingIntel.approvals.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.approvals.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.approvals.filterAll	"すべて"
pages.marketingIntel.approvals.requestList	"📋 承認キュー"
pages.marketingIntel.approvals.noRequests	"承認リクエストなし"
pages.marketingIntel.approvals.noRequestsDesc	"AIルールエンジンとAIポリシーからの承認リクエストがリアルタイムで表示されます。"
pages.marketingIntel.approvals.demoGuard	"デモモード — ライトバック操作不可"
pages.marketingIntel.approvals.tabQueue	"承認キュー"
pages.marketingIntel.approvals.tabQueueDesc	"保留中のリクエスト"
pages.marketingIntel.approvals.tabAuditDesc	"決定ログ"
pages.marketingIntel.approvals.tabSettingsDesc	"ライトバック設定"
pages.marketingIntel.approvals.auditSecurity	"セキュリティ"
pages.marketingIntel.approvals.noAudit	"監査ログなし"
pages.marketingIntel.approvals.noAuditDesc	"承認決定と実行ログがリアルタイムで表示されます。"
pages.marketingIntel.approvals.settingsTitle	"⚙ ライトバック設定"
pages.marketingIntel.approvals.cfgAutoApprove	"低リスク自動承認"
pages.marketingIntel.approvals.cfgAutoApproveDesc	"低優先度リクエストを自動承認"
pages.marketingIntel.approvals.cfgRequire2faDesc	"承認に2段階認証が必要"
pages.marketingIntel.approvals.cfgSlackNotifyDesc	"Slackに承認通知を送信"
pages.marketingIntel.approvals.cfgEmailNotify	"メール通知"
pages.marketingIntel.approvals.cfgEmailNotifyDesc	"保留中の承認時にメール送信"
pages.marketingIntel.approvals.cfgExecDelayDesc	"アクション実行前に5分遅延"
pages.marketingIntel.approvals.cfgAuditLog	"監査ログ"
pages.marketingIntel.approvals.cfgAuditLogDesc	"コンプライアンス用全操作記録"
pages.marketingIntel.approvals.badgeTotal	"総リクエスト"
pages.marketingIntel.approvals.badgeRealtime	"リアルタイム同期"
pages.marketingIntel.approvals.badgeSecurity	"セキュリティ有効"
pages.marketingIntel.approvals.syncRules	"AIルール"
pages.marketingIntel.approvals.liveSyncStatus	"リアルタイムデータ同期状態"
pages.marketingIntel.approvals.demoBanner	"🎭 デモモード"
pages.marketingIntel.approvals.demoBannerDesc	"読み取り専用。"
pages.marketingIntel.approvals.upgradeBtn	"💎 Proアップグレード"
pages.marketingIntel.approvals.crossTabSync	"別タブからスキーマ同期"
pages.marketingIntel.approvals.secTitle	"セキュリティ脅威検出"
pages.marketingIntel.approvals.secDesc	"不審なアクティビティ検出"
pages.marketingIntel.approvals.secCode	"ロック解除コード入力"
pages.marketingIntel.approvals.secUnlock	"ロック解除"
pages.marketingIntel.approvals.GuardDecide	"デモモードでは承認/却下不可"
pages.marketingIntel.approvals.GuardExecute	"デモモードでは実行不可"
pages.marketingIntel.connectors.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.connectors.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.connectors.connected	"接続済み"
pages.marketingIntel.eventNorm.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.eventNorm.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.mappingRegistry.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.mappingRegistry.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.userMgmt.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.userMgmt.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.admin.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.admin.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.admin.connected	"接続済み"
pages.marketingIntel.auditLog.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.auditLog.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.auditLog.colAction	"アクション"
pages.marketingIntel.dbAdmin.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.dbAdmin.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.systemMonitor.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.systemMonitor.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.sidebar.footerLine1	"売上 + リスク + ガバナンス"
pages.marketingIntel.sidebar.removeFav	"お気に入り解除"
pages.marketingIntel.ui.cancel	"キャンセル"
pages.marketingIntel.ui.colStatus	"ステータス"
pages.marketingIntel.aiPredict.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.aiPredict.adPerf.channel	"チャネル"
pages.marketingIntel.aiPredict.channelKpiPage.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.aiPredict.channelKpiPage.heroDesc	"API キーを登録し接続状態を管理します。"
pages.marketingIntel.aiPredict.unified.heroDesc	"API キーを登録し接続状態を管理します。"
pages.marketingIntel.aiPredict.unified.btnNext	"次へ"
pages.marketingIntel.aiPredict.influencerUGC.txt_AI인플루언서종합평_32	"🤖 AIリアルタイムクリエイター総合評価"
pages.marketingIntel.aiPredict.influencerUGC.txt_ClaudeSonn_33	"AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析"
pages.marketingIntel.aiPredict.influencerUGC.txt_ClaudeAI가C_35	"AIがクリエイターデータを分析中です..."
pages.marketingIntel.filterAll	"すべて"
pages.marketingIntel.adPerf.channel	"チャネル"
pages.marketingIntel.adPerf.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.adPerf.pageSub	"コネクタ＆統合管理"
pages.marketingIntel.channelKpiPage.pageTitle	"🔌 連携ハブ"
pages.marketingIntel.channelKpiPage.heroDesc	"API キーを登録し接続状態を管理します。"
pages.marketingIntel.channelKpiPage.guideTabsTitle	"タブ説明"
pages.marketingIntel.channelKpiPage.guideGoalDesc	"ビジネス目標を選択"
pages.marketingIntel.channelKpiPage.guideRoleName	"チャネル役割"
pages.marketingIntel.channelKpiPage.guideRoleDesc	"役割と指標を定義"
pages.marketingIntel.channelKpiPage.guideSetupDesc	"目標値を管理"
pages.marketingIntel.channelKpiPage.guideContentName	"コンテンツ"
pages.marketingIntel.channelKpiPage.guideContentDesc	"ブログ分析"
pages.marketingIntel.channelKpiPage.guideCommunityName	"コミュニティ"
pages.marketingIntel.channelKpiPage.guideCommunityDesc	"コミュニティ分析"
pages.marketingIntel.channelKpiPage.guideMonitorName	"AIモニタリング"
pages.marketingIntel.channelKpiPage.guideMonitorDesc	"AI分析と改善"
pages.marketingIntel.unified.selectMarkets	"🌍 ターゲット市場"
pages.marketingIntel.unified.cloneCampaign	"キャンペーン複製"
pages.marketingIntel.unified.saveTemplate	"テンプレート保存"
pages.marketingIntel.influencerUGC.txt_AI인플루언서종합평_32	"🤖 AIリアルタイムクリエイター総合評価"
pages.marketingIntel.influencerUGC.txt_ClaudeSonn_33	"AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析"
pages.marketingIntel.influencerUGC.txt_ClaudeAI가C_35	"AIがクリエイターデータを分析中です..."
pages.marketingIntel.tabs.overviewDesc	"プラットフォーム全体の主要指標を一目で"
pages.marketingIntel.tabs.marketing	"マーケティング成果"
pages.marketingIntel.tabs.marketingDesc	"広告·キャンペーン統合分析"
pages.marketingIntel.tabs.channel	"チャネル"
pages.marketingIntel.tabs.channelDesc	"チャネル別主要KPI"
pages.marketingIntel.tabs.commerce	"コマース·決済"
pages.marketingIntel.tabs.sales	"グローバル売上"
pages.marketingIntel.tabs.influencer	"インフルエンサー"
pages.marketingIntel.tabs.influencerDesc	"インフルエンサー·UGC成果分析"
pages.marketingIntel.tabs.system	"システム現況"
pages.marketingIntel.tabs.systemDesc	"API·パイプライン·サーバー状態"
pages.marketingIntel.tabs.guide	"📖 ガイド"
pages.marketingIntel.tabs.guideDesc	"ダッシュボード利用ガイド"
pages.marketingIntel.influencer.title	"インフルエンサー & UGCハブ"
pages.marketingIntel.influencer.sub	"インフルエンサー·UGCハブ"
pages.marketingIntel.influencer.subtitle	"クリエイターID統合(複製/なりすまし)·モジュール式契約·自動精算·ROIランキング·コンテンツ再利用提案"
pages.marketingIntel.influencer.colStatus	"ステータス"
pages.marketingIntel.influencer.contractType	"契約タイプ"
pages.marketingIntel.influencer.tab_identity	"🧑 クリエイター統合"
pages.marketingIntel.influencer.desc_identity	"ID統合·重複·チャネル検出"
pages.marketingIntel.influencer.tab_contract	"📝 契約 & ホワイトリスト"
pages.marketingIntel.influencer.desc_settle	"支払い·監査·過払い検出"
pages.marketingIntel.influencer.tab_roi	"🏆 ROIランキング"
pages.marketingIntel.influencer.desc_roi	"アトリビューション·高閲覧/低購入"
