keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.attrData.visitor,,MISSING,Visitors,PASS,訪問者,PASS,访客,PASS,訪客,PASS,Visitors,PASS,Visitors,PASS,Besucher,PASS,Visitors,PASS,Visitors,PASS,Visitors,PASS,Visitors,PASS,Pengunjung,PASS,ผู้เยี่ยมชม,PASS,Khách truy cập,PASS,0,skip
pages.marketingIntel.attrData.winner,,MISSING,🏆 Winner,PASS,🏆 勝者,PASS,🏆 获胜者,PASS,🏆 獲勝者,PASS,🏆 Winner,PASS,🏆 Winner,PASS,🏆 Gewinner,PASS,🏆 Winner,PASS,🏆 Winner,PASS,🏆 Winner,PASS,🏆 Winner,PASS,🏆 Pemenang,PASS,🏆 ผู้ชนะ,PASS,🏆 Người chiến thắng,PASS,0,skip
pages.marketingIntel.attributedOrders,,MISSING,Attributed Orders,PASS,帰属注文,PASS,归因订单,PASS,归因订单,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,Attributed Orders,PASS,0,skip
pages.marketingIntel.attributedRevenue,,MISSING,Attributed Revenue,PASS,帰属売上,PASS,归因营收,PASS,归因营收,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,Attributed Revenue,PASS,0,skip
pages.marketingIntel.attribution,,MISSING,Attribution,P4,貢献度,PASS,贡献度,PASS,贡献度,PASS,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,Attribution,P4,11,translate
pages.marketingIntel.audienceInsights,오디언스 인사이트,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,Audience Insights,PASS,0,skip
pages.marketingIntel.auditLog.action_create,생성일,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,Created,PASS,0,skip
pages.marketingIntel.auditLog.action_delete,삭제,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,0,skip
pages.marketingIntel.auditLog.action_export,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,Export,PASS,0,skip
pages.marketingIntel.auditLog.action_login,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,Login,PASS,0,skip
pages.marketingIntel.auditLog.action_logout,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,Logout,PASS,0,skip
pages.marketingIntel.auditLog.action_update,수정,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,Edit,PASS,0,skip
pages.marketingIntel.auditLog.colAction,액션,PASS,Action,PASS,アクション,PASS,动作,PASS,动作,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,Action,PASS,0,skip
pages.marketingIntel.auditLog.colDetail,상세 정보,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,Col Detail,PASS,0,skip
pages.marketingIntel.auditLog.colIp,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,IP,PASS,0,skip
pages.marketingIntel.auditLog.colResult,,MISSING,Result,PASS,結果,PASS,结果,PASS,结果,PASS,Result,PASS,Result,PASS,Result,PASS,Result,PASS,Result,PASS,Result,PASS,Result,PASS,結果,PASS,Result,PASS,Result,PASS,0,skip
pages.marketingIntel.auditLog.colTime,,MISSING,Time,PASS,時間,PASS,时间,PASS,时间,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,時間,PASS,Time,PASS,Time,PASS,0,skip
pages.marketingIntel.auditLog.colUser,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,User,PASS,0,skip
pages.marketingIntel.auditLog.exportCsv,CSV 내보내기,PASS,Export Csv,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export Csv,PASS,Export Csv,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export Csv,PASS,0,skip
pages.marketingIntel.auditLog.filterAction,액션 필터,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,Filter Action,PASS,0,skip
pages.marketingIntel.auditLog.filterDate,날짜 필터,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,Filter Date,PASS,0,skip
pages.marketingIntel.auditLog.filterUser,사용자 필터,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,Filter User,PASS,0,skip
pages.marketingIntel.auditLog.noLogs,로그가 없습니다,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,No Logs,PASS,0,skip
pages.marketingIntel.auditLog.pageSub,커넥터 & 통합 관리,PASS,Connector & integration management,PASS,コネクタ＆統合管理,PASS,连接器与集成管理,PASS,连接器与集成管理,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,การวิเคราะห์ AI แบบบูรณาการ - การจัดการตัวชี้วัดผลการดำเนินงานโฆษณาแบบครบวงจร,PASS,Connector & integration management,PASS,0,skip
pages.marketingIntel.auditLog.pageTitle,🔌 연동 허브,PASS,🔌 Integration Hub,PASS,🔌 連携ハブ,PASS,🔌 集成中心,PASS,🔌 集成中心,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,การตลาดและผลการดำเนินงานโฆษณา (Overview),PASS,🔌 Integration Hub,PASS,0,skip
pages.marketingIntel.auth.PlanNote,플랜 참고사항,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,Plan Note,PASS,0,skip
pages.marketingIntel.auth.adChannelNote,광고 채널 안내,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,Ad Channel Note,PASS,0,skip
pages.marketingIntel.auth.adChannelTitle,광고 채널,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,Ad Channel Title,PASS,0,skip
pages.marketingIntel.auth.addressDetailLabel,상세 주소,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,Address Detail Label,PASS,0,skip
pages.marketingIntel.auth.addressLabel,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,Address,PASS,0,skip
pages.marketingIntel.auth.addressRequired,주소를 입력해주세요,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,Address Required,PASS,0,skip
pages.marketingIntel.auth.adminEmailLabel,관리자 이메일,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,Admin Email Label,PASS,0,skip
pages.marketingIntel.auth.adminKeyLabel,관리자 키,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,Admin Key Label,PASS,0,skip
pages.marketingIntel.auth.adminKeyPh,관리자 키 입력,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,Admin Key Ph,PASS,0,skip
pages.marketingIntel.auth.adminLoginBtn,관리자 로그인,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,Admin Login Btn,PASS,0,skip
pages.marketingIntel.auth.adminLoginDesc,관리자 계정으로 로그인해주세요,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,Admin Login Desc,PASS,0,skip
pages.marketingIntel.auth.adminLoginTitle,관리자 로그인,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,Admin Login Title,PASS,0,skip
pages.marketingIntel.auth.agreeAll,전체 동의,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,Agree All,PASS,0,skip
pages.marketingIntel.auth.agreeAnd,및,P5,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,Agree And,PASS,諛?,PASS,1,review
pages.marketingIntel.auth.agreeConsent,동의합니다,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,I agree to,PASS,0,skip
pages.marketingIntel.auth.agreeMarketing,마케팅 수신 동의,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,Agree Marketing,PASS,0,skip
pages.marketingIntel.auth.agreePrivacy,개인정보 처리방침,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,Privacy Policy,PASS,0,skip
pages.marketingIntel.auth.agreeTerms,이용약관,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,Terms of Service,PASS,0,skip
pages.marketingIntel.auth.agreeTermsRequired,이용약관 동의가 필요합니다,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,Agree Terms Required,PASS,0,skip
pages.marketingIntel.auth.alreadyHaveAccount,이미 계정이 있으신가요?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,Already have an account?,PASS,0,skip
pages.marketingIntel.auth.businessNumberHint,사업자등록번호 안내,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,Business Number Hint,PASS,0,skip
pages.marketingIntel.auth.businessNumberLabel,사업자등록번호,PASS,Business Number Label,PASS,Business Number,PASS,Business Number,PASS,Business Number,PASS,Business Number Label,PASS,Business Number Label,PASS,Business Number,PASS,Business Number,PASS,Business Number,PASS,Business Number,PASS,Business Number,PASS,Business Number,PASS,Business Number,PASS,Business Number Label,PASS,0,skip
pages.marketingIntel.auth.businessNumberRequired,사업자등록번호를 입력해주세요,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,Business Number Required,PASS,0,skip
pages.marketingIntel.auth.businessTypeLabel,업종,PASS,Business Type Label,PASS,Industry,PASS,Industry,PASS,Industry,PASS,Business Type Label,PASS,Business Type Label,PASS,Industry,PASS,Industry,PASS,Industry,PASS,Industry,PASS,Industry,PASS,Industry,PASS,Industry,PASS,Business Type Label,PASS,0,skip
pages.marketingIntel.auth.businessTypeRequired,업종을 선택해주세요,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,Business Type Required,PASS,0,skip
pages.marketingIntel.auth.businessWarning,사업자 정보 확인이 필요합니다,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,Business Warning,PASS,0,skip
pages.marketingIntel.auth.ceoNameLabel,대표자명,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,Ceo Name Label,PASS,0,skip
pages.marketingIntel.auth.ceoRequired,대표자명을 입력해주세요,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,Ceo Required,PASS,0,skip
pages.marketingIntel.auth.companyLabel,회사명,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,Company Label,PASS,0,skip
pages.marketingIntel.auth.companyRequired,회사명을 입력해주세요,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,Company Required,PASS,0,skip
